fam,p,mult,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
keltner_EMA_ATR,200,2.0,30,0.9,0.5263,16879,0.5166,0.509,-949.54,0.987,7177,0.5079,0.4963,-928.65,0.9362,FAIL
stretch_SMA_ATR,200,2.5,30,0.9,0.5263,16266,0.5154,0.5077,-1003.5,1.0042,7040,0.5061,0.4944,-950.41,0.9731,FAIL
keltner_EMA_ATR,200,1.5,30,0.9,0.5263,18661,0.5156,0.5084,-1018.74,1.0355,7977,0.5092,0.4982,-897.92,0.9313,FAIL
stretch_SMA_ATR,200,2.0,30,0.9,0.5263,17820,0.5144,0.507,-1062.51,1.073,7701,0.5054,0.4942,-1001.3,1.0255,FAIL
keltner_EMA_ATR,200,2.5,15,0.9,0.5263,15061,0.5137,0.5057,-1097.74,1.0942,6440,0.5165,0.5042,-845.08,0.8551,FAIL
keltner_EMA_ATR,200,2.0,15,0.9,0.5263,16874,0.5129,0.5054,-1116.44,1.1197,7173,0.5158,0.5043,-915.54,0.9209,FAIL
stretch_SMA_ATR,200,2.5,15,0.9,0.5263,16261,0.5112,0.5035,-1137.2,1.1324,7034,0.5135,0.5018,-937.93,0.9466,FAIL
stretch_SMA_ATR,200,1.5,30,0.9,0.5263,19415,0.5129,0.5059,-1142.82,1.1386,8356,0.505,0.4943,-1031.11,1.0587,FAIL
keltner_EMA_ATR,200,2.5,30,0.87,0.5348,15066,0.5173,0.5093,-1144.19,1.14,6444,0.5054,0.4932,-985.5,0.9962,FAIL
keltner_EMA_ATR,200,1.5,15,0.9,0.5263,18656,0.5123,0.5052,-1169.89,1.1487,7973,0.5159,0.5049,-892.29,0.8962,FAIL
keltner_EMA_ATR,200,2.0,30,0.87,0.5348,16879,0.5166,0.509,-1187.57,1.1763,7177,0.5079,0.4963,-1009.91,1.0182,FAIL
stretch_SMA_ATR,200,2.0,60,0.87,0.5348,17820,0.5127,0.5053,-1195.53,1.1721,7705,0.5141,0.5029,-387.06,0.8843,FAIL
stretch_SMA_ATR,200,2.5,30,0.87,0.5348,16266,0.5154,0.5077,-1200.81,1.1947,7040,0.5061,0.4944,-1004.33,1.0257,FAIL
stretch_SMA_ATR,200,2.0,15,0.9,0.5263,17815,0.511,0.5036,-1232.92,1.2248,7695,0.512,0.5008,-971.21,0.9837,FAIL
keltner_EMA_ATR,200,1.5,30,0.87,0.5348,18661,0.5156,0.5084,-1250.24,1.2425,7977,0.5092,0.4982,-1028.15,1.0352,FAIL
stretch_SMA_ATR,200,2.0,30,0.87,0.5348,17820,0.5144,0.507,-1282.6,1.2737,7701,0.5054,0.4942,-1062.38,1.0851,FAIL
keltner_EMA_ATR,200,2.5,15,0.87,0.5348,15061,0.5137,0.5057,-1286.51,1.2721,6440,0.5165,0.5042,-931.51,0.9367,FAIL
stretch_SMA_ATR,200,1.5,15,0.9,0.5263,19410,0.509,0.5019,-1301.04,1.2905,8351,0.5122,0.5014,-984.72,0.9968,FAIL
stretch_SMA_ATR,200,2.5,15,0.87,0.5348,16261,0.5112,0.5035,-1340.17,1.3286,7034,0.5135,0.5018,-974.73,0.9833,FAIL
keltner_EMA_ATR,200,2.0,15,0.87,0.5348,16874,0.5129,0.5054,-1341.64,1.3284,7173,0.5158,0.5043,-974.27,0.9793,FAIL
stretch_SMA_ATR,200,1.5,60,0.87,0.5348,19415,0.5119,0.5048,-1364.98,1.3526,8360,0.5136,0.5029,-904.45,0.9862,FAIL
stretch_SMA_ATR,200,1.5,30,0.87,0.5348,19415,0.5129,0.5059,-1395.55,1.3828,8356,0.505,0.4943,-1108.28,1.1343,FAIL
keltner_EMA_ATR,200,1.5,15,0.87,0.5348,18656,0.5123,0.5052,-1421.09,1.3773,7973,0.5159,0.5049,-980.47,0.9845,FAIL
stretch_SMA_ATR,200,2.0,15,0.87,0.5348,17815,0.511,0.5036,-1461.46,1.4458,7695,0.512,0.5008,-1032.51,1.0443,FAIL
stretch_SMA_ATR,200,1.5,15,0.87,0.5348,19410,0.509,0.5019,-1555.07,1.5363,8351,0.5122,0.5014,-1060.92,1.0721,FAIL
