tag,rsi_per,ob,os_,macro_ema,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
RSI21 20/80 noMacro exp15m,21,80,20,None,15,0.9,0.5263,16,0.625,0.3864,36.92,0.0467,13,0.4615,0.2321,-52.98,0.0579,FAIL
RSI10 20/80 noMacro exp15m,10,80,20,None,15,0.87,0.5348,188,0.5053,0.4345,34.53,0.1619,85,0.5412,0.4358,-106.54,0.179,FAIL
RSI7 20/80 EMA50 exp30m,7,80,20,50,30,0.9,0.5263,99,0.5657,0.4674,33.3,0.1281,46,0.5217,0.3814,-58.57,0.0612,FAIL
RSI14 30/70 noMacro exp30m,14,70,30,None,30,0.9,0.5263,750,0.532,0.4962,27.8,0.2521,313,0.5144,0.4592,266.01,0.138,FAIL
RSI7 25/75 EMA50 exp60m,7,75,25,50,60,0.9,0.5263,242,0.5248,0.462,27.72,0.2134,120,0.4917,0.4039,-47.61,0.1083,FAIL
RSI14 25/75 noMacro exp15m,14,75,25,None,15,0.87,0.5348,279,0.5269,0.4683,27.37,0.2094,112,0.5179,0.4263,-84.59,0.1131,FAIL
RSI21 35/65 EMA50 exp60m,21,65,35,50,60,0.87,0.5348,210,0.5476,0.48,20.89,0.163,82,0.5366,0.4294,-37.17,0.0935,FAIL
RSI7 25/75 EMA50 exp60m,7,75,25,50,60,0.87,0.5348,242,0.5248,0.462,17.26,0.21,120,0.4917,0.4039,-60.28,0.1062,FAIL
RSI14 20/80 noMacro exp60m,14,80,20,None,60,0.9,0.5263,75,0.5467,0.4345,16.03,0.0973,34,0.5294,0.3674,-87.95,0.0879,FAIL
RSI14 20/80 noMacro exp60m,14,80,20,None,60,0.87,0.5348,75,0.5467,0.4345,15.11,0.0703,34,0.5294,0.3674,-100.03,0.1,FAIL
RSI21 20/80 noMacro exp15m,21,80,20,None,15,0.87,0.5348,16,0.625,0.3864,12.7,0.0579,13,0.4615,0.2321,-53.43,0.0543,FAIL
RSI14 30/70 EMA50 exp60m,14,70,30,50,60,0.9,0.5263,153,0.5229,0.4441,11.67,0.1891,67,0.5075,0.3906,-70.59,0.1032,FAIL
RSI7 20/80 EMA50 exp30m,7,80,20,50,30,0.87,0.5348,99,0.5657,0.4674,11.27,0.1143,46,0.5217,0.3814,-47.04,0.0491,FAIL
RSI10 30/70 EMA50 exp30m,10,70,30,50,30,0.87,0.5348,291,0.5464,0.489,5.65,0.2095,133,0.5038,0.4199,-129.86,0.1925,FAIL
RSI14 30/70 EMA50 exp60m,14,70,30,50,60,0.87,0.5348,153,0.5229,0.4441,-2.62,0.1819,67,0.5075,0.3906,-53.7,0.0865,FAIL
RSI14 30/70 noMacro exp30m,14,70,30,None,30,0.87,0.5348,750,0.532,0.4962,-5.08,0.2382,313,0.5144,0.4592,205.66,0.1356,FAIL
RSI7 20/80 EMA50 exp60m,7,80,20,50,60,0.9,0.5263,99,0.5253,0.4278,-8.15,0.1691,46,0.5,0.3612,-45.27,0.0548,FAIL
RSI14 35/65 EMA50 exp60m,14,65,35,50,60,0.9,0.5263,409,0.5403,0.4919,-12.44,0.2661,178,0.5,0.4273,-163.53,0.215,FAIL
RSI21 25/75 EMA50 exp15m,21,75,25,50,15,0.9,0.5263,6,0.5,0.1876,-14.66,0.0396,3,1.0,0.4385,54.98,0.0,FAIL
